# Generated by mutraff_edges_csv.py , by alvaro.paricio@uah.es
edge_id,odmat_id,from_node,to_node,from_lat,from_long,to_lat,to_long,center_lat,center_long,name
1,-100851682,1165482312,1165482328,40.476015,-3.394803,40.476372,-3.393535,40.476193499999994,-3.3941689999999998

2,-100851688,1165482328,1165482290,40.476372,-3.393535,40.476832,-3.391995,40.476602,-3.392765

3,-100851690,1165482325,1165482312,40.475548,-3.396469,40.476015,-3.394803,40.4757815,-3.395636

4,-100851695,1165482322,1165482272,40.468375,-3.405725,40.469638,-3.401857,40.469006500000006,-3.403791

5,-103584157,311472409,1195985289,40.484626,-3.396309,40.485168,-3.396721,40.484897000000004,-3.396515

6,-103584164,1195985748,1195985652,40.485614,-3.396305,40.484837,-3.395689,40.4852255,-3.395997

7,-103584211#0,311472492,1195985503,40.48424,-3.396004,40.48451,-3.396211,40.484375,-3.3961075000000003

8,-103584211#1,1195985434,311472492,40.484128,-3.395917,40.48424,-3.396004,40.484184,-3.3959605

9,-103584211#2,311472507,1195985434,40.483818,-3.39567,40.484128,-3.395917,40.483973,-3.3957935

10,-103584211#3,311472515,311472507,40.483715,-3.395581,40.483818,-3.39567,40.4837665,-3.3956255

11,-103584211#4,1195985321,311472515,40.483409,-3.395336,40.483715,-3.395581,40.483562,-3.3954585

12,-103584211#5,259133913,1195985321,40.482841,-3.39488,40.483409,-3.395336,40.483125,-3.395108

13,-103584239,1195985378,1195985765,40.486012,-3.395871,40.485077,-3.395134,40.4855445,-3.3955025

14,-106134323,259253756,1222027143,40.486638,-3.380455,40.486586,-3.380286,40.486612,-3.3803704999999997

15,-106134328,1222027487,259133885,40.489334,-3.378686,40.489346,-3.37885,40.48934,-3.378768

16,-106134330#0,370533487,259253756,40.487962,-3.382324,40.486638,-3.380455,40.487300000000005,-3.3813895

17,-106134330#1,886712383,370533487,40.488007,-3.382393,40.487962,-3.382324,40.4879845,-3.3823585

18,-106134332#0,1376907087,637775621,40.514395,-3.361607,40.51439,-3.361554,40.5143925,-3.3615804999999996

19,-106134332#1,1222027099,1376907087,40.514411,-3.36186,40.514395,-3.361607,40.514403,-3.3617334999999997

20,-106134332#2,1222026627,1222027099,40.514338,-3.363738,40.514411,-3.36186,40.5143745,-3.362799

21,-106134336,259133885,370533589,40.489346,-3.37885,40.489871,-3.38037,40.4896085,-3.37961

22,-106134345#0,1376906721,1060334880,40.514495,-3.361499,40.514875,-3.359633,40.514685,-3.360566

23,-106134345#1,2027136248,1376906721,40.514465,-3.361513,40.514495,-3.361499,40.51448,-3.361506

24,-106134345#2,637775621,2027136248,40.51439,-3.361554,40.514465,-3.361513,40.5144275,-3.3615335

25,-106134346,1222027483,886635730,40.483924,-3.383655,40.485373,-3.378472,40.484648500000006,-3.3810634999999998

26,-106134372,1222027143,1222027498,40.486586,-3.380286,40.486473,-3.379912,40.4865295,-3.380099

27,-106134392#0,259133886,1222027487,40.48933,-3.378537,40.489334,-3.378686,40.489332000000005,-3.3786115

28,-106134392#1,370869888,259133886,40.489391,-3.377497,40.48933,-3.378537,40.489360500000004,-3.378017

29,-106134392#2,370870032,370869888,40.489827,-3.375952,40.489391,-3.377497,40.489609,-3.3767245

30,-106147508,1222113359,1222113344,40.507253,-3.332206,40.506667,-3.331401,40.50696,-3.3318035

31,-116231961#0,259860442,1060413965,40.502885,-3.353789,40.501719,-3.351049,40.502302,-3.3524190000000003

32,-116231961#1,259860452,259860442,40.503021,-3.359733,40.502885,-3.353789,40.502953,-3.3567609999999997

33,-117976252#0,3569789609,1060458687,40.492594,-3.386765,40.492474,-3.386637,40.492534,-3.386701

34,-117976252#1,1060458789,3569789609,40.492729,-3.386909,40.492594,-3.386765,40.4926615,-3.386837

35,-118195325#0,2565206252,1329797917,40.491959,-3.377645,40.492553,-3.377667,40.492256,-3.377656

36,-118195325#1,1329797950,2565206252,40.491646,-3.377642,40.491959,-3.377645,40.491802500000006,-3.3776434999999996

37,-118195327#0,3770784530,1329797971,40.490821,-3.37675,40.491143,-3.377321,40.490982,-3.3770355

38,-118195327#1,370869769,3770784530,40.490689,-3.376535,40.490821,-3.37675,40.490755,-3.3766425

39,-118195327#2,3770784501,370869769,40.490562,-3.376332,40.490689,-3.376535,40.4906255,-3.3764335

40,-118195327#3,3770784498,3770784501,40.490531,-3.37628,40.490562,-3.376332,40.490546499999994,-3.376306

41,-118195327#4,370869748,3770784498,40.490439,-3.376113,40.490531,-3.37628,40.490485,-3.3761965

42,-118195327#5,1329797979,370869748,40.490409,-3.376068,40.490439,-3.376113,40.490424000000004,-3.3760905

43,-118195328#0,302332271,259133783,40.497961,-3.377826,40.497233,-3.377603,40.497597,-3.3777145

44,-118195328#1,3770784725,302332271,40.498163,-3.377931,40.497961,-3.377826,40.498062,-3.3778785

45,-118195328#2,259133785,3770784725,40.498235,-3.377967,40.498163,-3.377931,40.498199,-3.377949

46,-118201157,259719734,311296898,40.490967,-3.369327,40.489793,-3.370152,40.49038,-3.3697395

47,-118201163#0,259718093,1373121868,40.499453,-3.364051,40.499107,-3.364973,40.49928,-3.364512

48,-118201163#1,259717973,259718093,40.499834,-3.363064,40.499453,-3.364051,40.499643500000005,-3.3635574999999998

49,-118201170#0,259719741,259719734,40.492348,-3.36814,40.490967,-3.369327,40.4916575,-3.3687335000000003

50,-118201170#1,259719743,259719741,40.492938,-3.367329,40.492348,-3.36814,40.492643,-3.3677345

51,-118201170#2,2633066502,259719743,40.493061,-3.367279,40.492938,-3.367329,40.492999499999996,-3.367304

52,-118201170#3,2337259685,2633066502,40.493383,-3.367189,40.493061,-3.367279,40.493222,-3.367234

53,-120509978,1351112710,1351112712,40.489588,-3.367745,40.489999,-3.366838,40.4897935,-3.3672915000000003

54,-120510394,1351118617,1351118611,40.488416,-3.370437,40.488272,-3.370875,40.488344,-3.370656

55,-120510395,1351118606,1351118608,40.488664,-3.36839,40.488911,-3.368529,40.4887875,-3.3684595

56,-120510396,1351118617,1351118612,40.488416,-3.370437,40.488638,-3.370723,40.488527000000005,-3.37058

57,-120510397,1351112711,1351118620,40.490536,-3.368376,40.490612,-3.368438,40.490573999999995,-3.368407

58,-123021275,1351118613,1351118607,40.489025,-3.368591,40.489072,-3.368455,40.489048499999996,-3.3685229999999997

59,-123021276,1351118608,1351118610,40.488911,-3.368529,40.488427,-3.369969,40.488669,-3.369249

60,-123021280#0,2606197606,258850724,40.486076,-3.363414,40.486489,-3.363177,40.4862825,-3.3632955

61,-123021280#1,1373121191,2606197606,40.485992,-3.363475,40.486076,-3.363414,40.486034000000004,-3.3634445

62,-123021280#2,1373121160,1373121191,40.48526,-3.364181,40.485992,-3.363475,40.485625999999996,-3.363828

63,-123021280#3,311296886,1373121160,40.484997,-3.364463,40.48526,-3.364181,40.4851285,-3.364322

64,-123483728#0,259094459,422979392,40.484124,-3.343603,40.483881,-3.344616,40.4840025,-3.3441095

65,-123483728#1,259094461,259094459,40.484474,-3.342781,40.484124,-3.343603,40.484299,-3.343192

66,-123483728#2,1376906888,259094461,40.484782,-3.342184,40.484474,-3.342781,40.484628,-3.3424825

67,-123483728#3,311421892,1376906888,40.485161,-3.341463,40.484782,-3.342184,40.4849715,-3.3418235000000003

68,-123483728#4,259134202,311421892,40.485482,-3.340855,40.485161,-3.341463,40.4853215,-3.341159

69,-123483740#0,1376906395,1376906896,40.499027,-3.354053,40.49866,-3.353671,40.4988435,-3.353862

